,Feature,Importance
36,app_domain_ae637522,1.5756319916478598
11,site_domain_58a89a43,1.5175942133108862
39,app_domain_b9528b13,1.2442196682209894
26,site_category_76b2941d,1.1911617841538964
42,app_category_07d7df22,1.1215589640194865
38,app_domain_b8d325c3,1.044501712578906
29,site_category_f66779e6,1.0246151022398269
47,app_category_cef3e649,0.9830152558652856
16,site_domain_b12b9f85,0.925545812973333
51,app_category_fc6fa53d,0.9131877547258718
35,app_domain_82e27996,0.8782116296008718
10,site_domain_17d996e6,0.8606152694830463
50,app_category_f95efa07,0.7905906676953506
20,site_category_28905ebd,0.7568696564913611
23,site_category_50e219e0,0.7181030306767772
30,site_category_other,0.6974464543439104
24,site_category_72722551,0.6733743564951143
12,site_domain_7687a86e,0.6435700199077473
33,app_domain_5c5a694b,0.6160757432268543
14,site_domain_98572c79,0.5849692916495527
37,app_domain_aefc06bd,0.5190387869045842
13,site_domain_7e091613,0.47775881426920874
34,app_domain_7801e8d9,0.4193095758733284
22,site_category_3e814130,0.4049991122785755
46,app_category_8ded1f7a,0.39442769233669733
31,app_domain_0e8616ad,0.38605889618711337
21,site_category_335d28a8,0.33386713411672847
15,site_domain_9d54950b,0.2817269500520899
28,site_category_f028772b,0.2814966556919528
9,site_domain_16a36ef3,0.2707346240574909
48,app_category_d1327cf5,0.21938670051843306
27,site_category_c0dd3be3,0.19832961079360364
19,site_domain_other,0.18520864678888085
44,app_category_0f2161f8,0.1785084923071019
43,app_category_09481d60,0.1713559778877168
52,app_category_other,0.1515038800359512
0,banner_pos,0.1368026137264
18,site_domain_f3845767,0.11104216230819229
32,app_domain_2347f47a,0.1036143782747028
25,site_category_75fa27f6,0.09584851879661956
17,site_domain_c4e18dd6,0.06665741706869772
41,app_domain_other,0.06311486003150817
45,app_category_75d80bbe,0.05262442647845979
40,app_domain_d9b5648e,0.04844292052338407
49,app_category_dc97ec06,0.04561814229620563
4,C18,0.04502174389543454
8,day_of_week,0.003633703968798795
7,hour_of_day,0.00357761007703211
2,C16,0.0035719257459494664
6,C21,0.001967029017096892
1,C15,0.0005843090654804627
3,C17,9.462082412499303e-05
5,C19,3.182154490897884e-05
