,Feature,Importance
6,C21,0.01878533333333333
18,site_domain_f3845767,0.01375099999999999
42,app_category_07d7df22,0.008697333333333324
3,C17,0.008657333333333317
46,app_category_8ded1f7a,0.006635333333333338
2,C16,0.006092666666666679
4,C18,0.004669333333333326
12,site_domain_7687a86e,0.004117666666666631
7,hour_of_day,0.0036276666666666623
47,app_category_cef3e649,0.0033689999999999775
9,site_domain_16a36ef3,0.003124999999999989
11,site_domain_58a89a43,0.002834666666666652
16,site_domain_b12b9f85,0.0020466666666666524
8,day_of_week,0.001949333333333325
32,app_domain_2347f47a,0.0017699999999999717
48,app_category_d1327cf5,0.0009213333333333296
31,app_domain_0e8616ad,0.0007789999999999742
30,site_category_other,0.0004566666666666608
5,C19,0.00030733333333332613
51,app_category_fc6fa53d,0.00015133333333332554
52,app_category_other,0.00012933333333333685
43,app_category_09481d60,6.499999999999284e-05
37,app_domain_aefc06bd,5.9666666666657874e-05
49,app_category_dc97ec06,-1.4000000000014001e-05
27,site_category_c0dd3be3,-4.533333333335276e-05
45,app_category_75d80bbe,-5.5000000000005043e-05
24,site_category_72722551,-9.100000000000774e-05
15,site_domain_9d54950b,-9.333333333334526e-05
21,site_category_335d28a8,-0.00028233333333334
29,site_category_f66779e6,-0.000454666666666681
26,site_category_76b2941d,-0.0004810000000000203
23,site_category_50e219e0,-0.0005633333333333379
39,app_domain_b9528b13,-0.0007890000000000174
25,site_category_75fa27f6,-0.0008126666666666615
10,site_domain_17d996e6,-0.0008910000000000196
1,C15,-0.0015840000000000077
22,site_category_3e814130,-0.0019550000000000066
41,app_domain_other,-0.0019796666666666795
35,app_domain_82e27996,-0.0029026666666666645
38,app_domain_b8d325c3,-0.0030550000000000186
40,app_domain_d9b5648e,-0.003485000000000027
50,app_category_f95efa07,-0.003608666666666671
36,app_domain_ae637522,-0.0044633333333333304
19,site_domain_other,-0.004818666666666671
14,site_domain_98572c79,-0.0049040000000000195
34,app_domain_7801e8d9,-0.005227333333333362
33,app_domain_5c5a694b,-0.008763333333333323
13,site_domain_7e091613,-0.009157666666666685
20,site_category_28905ebd,-0.014438666666666678
44,app_category_0f2161f8,-0.016472333333333346
28,site_category_f028772b,-0.019241333333333353
17,site_domain_c4e18dd6,-0.021141333333333356
0,banner_pos,-0.025053333333333337
