,Feature,Importance
9,device_model,0.14215911828391692
18,hour_of_day,0.1126741655179957
8,device_ip,0.09209305240030838
1,site_id,0.07957943534628653
17,C21,0.07306740758589449
2,site_domain,0.069020204085399
14,C17,0.06323133908571882
4,app_id,0.06113109691328815
19,day_of_week,0.047664556884666656
16,C19,0.04296810609729184
6,app_category,0.032835289663778286
13,C16,0.032599434035414765
15,C18,0.028433805612168433
3,site_category,0.023836262894266
5,app_domain,0.02329385264682371
11,device_conn_type,0.02257613292171373
7,device_id,0.02025984036597191
12,C15,0.012980470248988376
0,banner_pos,0.012029641439834269
10,device_type,0.007566787970274017
