,Feature,Importance
13,C16,0.2868457
6,app_category,0.095282584
17,C21,0.08345175
15,C18,0.07351672
10,device_type,0.055756975
1,site_id,0.054548666
4,app_id,0.0511696
0,banner_pos,0.041260052
2,site_domain,0.034346014
7,device_id,0.031877764
11,device_conn_type,0.030953595
3,site_category,0.030143676
12,C15,0.028876979
5,app_domain,0.023977911
14,C17,0.022810146
16,C19,0.01685979
9,device_model,0.011785081
8,device_ip,0.009991424
18,hour_of_day,0.009030886
19,day_of_week,0.007514637
